,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2252,002812,创新股份,0.0,0.0,0.0,0.0,0.0,55.26,0.0,0.0,0.0,48.052,4.931,1508045.4,694879.5798
2253,002811,亚泰国际,0.0,0.0,0.0,0.0,0.0,18.11,0.0,0.0,0.0,30.183,2.462,325980.0,81495.0
2254,002810,山东赫达,0.0,0.0,0.0,0.0,0.0,25.17,0.0,0.0,0.0,51.929,3.513,240524.52,128770.079931
2255,002809,红墙股份,0.0,0.0,0.0,0.0,0.0,27.26,0.0,0.0,0.0,40.687,3.499,340857.677,163987.09605
2256,002808,苏州恒久,0.0,0.0,0.0,0.0,0.0,12.82,0.0,0.0,0.0,80.629,4.525,246144.0,112597.936928
2257,002807,江阴银行,0.0,0.0,0.0,0.0,0.0,6.72,0.0,0.0,0.0,14.692,1.267,1187662.121184,482693.12784
2258,002806,华锋股份,0.0,0.0,0.0,0.0,0.0,44.85,0.0,0.0,0.0,213.571,15.749,614916.3735,251884.888125
2259,002805,丰元股份,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,63.333,4.146,239377.086,131864.161
2260,002803,吉宏股份,0.0,0.0,0.0,0.0,0.0,39.47,0.0,0.0,0.0,57.203,10.46,457852.0,181562.0
2261,002802,洪汇新材,0.0,0.0,0.0,0.0,0.0,29.08,0.0,0.0,0.0,43.403,5.072,315081.8,105846.477408
2262,002801,微光股份,0.0,0.0,0.0,0.0,0.0,32.19,0.0,0.0,0.0,35.374,4.439,380952.555,94767.36
2263,002800,天顺股份,0.0,0.0,0.0,0.0,0.0,27.03,0.0,0.0,0.0,49.145,4.619,201860.04,93985.7427
2264,002799,环球印务,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,88.867,3.803,199950.0,102474.375
2265,002798,帝欧家居,0.0,0.0,0.0,0.0,0.0,36.66,0.0,0.0,0.0,58.19,1.702,831158.273166,200054.991084
2266,002797,第一创业,0.0,0.0,0.0,0.0,0.0,7.62,0.0,0.0,0.0,63.5,2.9939999999999998,2668828.8,1461858.148668
2267,002796,世嘉科技,0.0,0.0,0.0,0.0,0.0,26.71,0.0,0.0,0.0,83.469,2.325,273794.816093,79902.965
2268,002795,永和智控,0.0,0.0,0.0,0.0,0.0,30.23,0.0,0.0,0.0,104.241,9.684,604600.0,192716.25
2269,002793,东音股份,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,27.586,4.242,320000.0,103184.16
2270,002792,通宇通讯,0.0,0.0,0.0,0.0,0.0,29.05,0.0,0.0,0.0,59.286,3.452,655821.18,205425.032785
2271,002791,坚朗五金,0.0,0.0,0.0,0.0,0.0,15.19,0.0,0.0,0.0,25.746,1.888,488419.26,122104.815
2272,002790,瑞尔特,0.0,0.0,0.0,0.0,0.0,23.39,0.0,0.0,0.0,23.39,2.54,374240.0,93560.0
2273,002789,建艺集团,0.0,0.0,0.0,0.0,0.0,37.41,0.0,0.0,0.0,33.106,2.5380000000000003,303769.2,144386.25183
2274,002788,鹭燕医药,0.0,0.0,0.0,0.0,0.0,30.68,0.0,0.0,0.0,30.078,2.612,393221.8784,216050.6309
2275,002787,华源控股,0.0,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,31.97,2.982,303966.6,109194.22387
2276,002786,银宝山新,0.0,0.0,0.0,0.0,0.0,7.89,0.0,0.0,0.0,46.412,2.769,300798.36,107876.025
2277,002785,万里石,0.0,0.0,0.0,0.0,0.0,11.67,0.0,0.0,0.0,-389.0,3.612,233400.0,113065.499868
2278,002783,凯龙股份,0.0,0.0,0.0,0.0,0.0,18.72,0.0,0.0,0.0,34.036,2.776,390639.6,200313.36
2279,002782,可立克,0.0,0.0,0.0,0.0,0.0,15.33,0.0,0.0,0.0,113.724,7.68,653058.0,163264.5
